QueryID	SubjectID	RawScore	%coverage	PBSscore	BioSample	Title
M21534.1	ERR1135379	170.77	91.53	91.66	SAMEA3663206	The Pig’s other genome: a reference gene catalogue of the gut microbiome
M21534.1	ERR1135382	170.77	91.53	91.66	SAMEA3663209	The Pig’s other genome: a reference gene catalogue of the gut microbiome
M21534.1	ERR1135388	170.77	91.53	91.66	SAMEA3663215	The Pig’s other genome: a reference gene catalogue of the gut microbiome
M21534.1	SRR17317415	170.77	91.53	91.66	SAMN24337962	The difference between diarrhea piglets and normal piglets
M21534.1	SRR17317416	169.77	91.01	91.12	SAMN24337964	The difference between diarrhea piglets and normal piglets
M21534.1	SRR7532988	169.77	91.01	91.12	SAMN09641552	panda gut metagenome raw sequence reads Raw sequence reads
M21534.1	SRR7532989	169.77	91.01	91.12	SAMN09641551	panda gut metagenome raw sequence reads Raw sequence reads
M21534.1	SRR17317414	167.78	89.95	90.05	SAMN24337966	The difference between diarrhea piglets and normal piglets
M21534.1	SRR13826161	162.79	87.30	87.37	SAMN16925175	Metagenome study of patients with Budd-Chiari syndrome
M21534.1	SRR14099373	162.79	87.30	87.37	SAMN16925175	Metagenome study of patients with Budd-Chiari syndrome
M21534.1	ERR1135385	159.95	85.71	85.85	SAMEA3663212	The Pig’s other genome: a reference gene catalogue of the gut microbiome
M21534.1	ERR1135386	157.84	84.66	84.72	SAMEA3663213	The Pig’s other genome: a reference gene catalogue of the gut microbiome
M21534.1	ERR1135221	147.95	79.37	79.41	SAMEA3663048	The Pig’s other genome: a reference gene catalogue of the gut microbiome
M21534.1	ERR2020037	145.95	78.31	78.34	SAMEA104144127	We studied the effect of different zinc sources on the intestinal microbiome in weaned pigs
M21534.1	ERR3393539	145.92	78.31	78.32	SAMEA5733042	Animal gut microbiome
M21534.1	SRR17317413	145.12	77.78	77.89	SAMN24337968	The difference between diarrhea piglets and normal piglets
M21534.1	SRR13517648	133.04	71.43	71.41	SAMN17521793	Metagenomics of antimicrobial and heavy metal resistance in the cecal microbiome of fattening pigs raised without antibiotics
M21534.1	SRR4425662	127.64	68.25	68.51	SAMN05597107	Composite fecal samples and WWTP biosolids Raw sequence reads
M21534.1	ERR1135383	121.18	65.08	65.04	SAMEA3663210	The Pig’s other genome: a reference gene catalogue of the gut microbiome
M21534.1	SRR4425697	110.74	59.26	59.44	SAMN05597123	Composite fecal samples and WWTP biosolids Raw sequence reads
